Algorithm,Size,Structure,Time
Selection,20,Random,1.6000005416572094e-05
Insertion,20,Random,1.2899981811642647e-05
Merge,20,Random,2.989999484270811e-05
Quick,20,Random,2.0300038158893585e-05
Heap,20,Random,2.7499976567924023e-05
Timsort,20,Random,3.00002284348011e-06
Selection,20,Sorted,1.2499978765845299e-05
Insertion,20,Sorted,3.300025127828121e-06
Merge,20,Sorted,1.9300030544400215e-05
Quick,20,Sorted,2.2000051103532314e-05
Heap,20,Sorted,2.0200037397444248e-05
Timsort,20,Sorted,1.5998957678675652e-06
Selection,20,Reverse Sorted,1.1200085282325745e-05
Insertion,20,Reverse Sorted,1.4899997040629387e-05
Merge,20,Reverse Sorted,1.6900012269616127e-05
Quick,20,Reverse Sorted,1.910002902150154e-05
Heap,20,Reverse Sorted,1.5300000086426735e-05
Timsort,20,Reverse Sorted,9.00006853044033e-07
Selection,20,Almost Sorted,9.7999582067132e-06
Insertion,20,Almost Sorted,2.900022082030773e-06
Merge,20,Almost Sorted,1.589988823980093e-05
Quick,20,Almost Sorted,1.6700010746717453e-05
Heap,20,Almost Sorted,1.8699909560382366e-05
Timsort,20,Almost Sorted,9.00006853044033e-07
Selection,50,Random,5.040003452450037e-05
Insertion,50,Random,4.8200017772614956e-05
Merge,50,Random,5.959998816251755e-05
Quick,50,Random,3.609992563724518e-05
Heap,50,Random,5.7299970649182796e-05
Timsort,50,Random,4.100031219422817e-06
Selection,50,Sorted,4.730001091957092e-05
Insertion,50,Sorted,4.600035026669502e-06
Merge,50,Sorted,4.1899969801306725e-05
Quick,50,Sorted,8.239992894232273e-05
Heap,50,Sorted,5.889998283237219e-05
Timsort,50,Sorted,8.00006091594696e-07
Selection,50,Reverse Sorted,4.8600020818412304e-05
Insertion,50,Reverse Sorted,7.90000194683671e-05
Merge,50,Reverse Sorted,4.600000102072954e-05
Quick,50,Reverse Sorted,7.770000956952572e-05
Heap,50,Reverse Sorted,4.4899992644786835e-05
Timsort,50,Reverse Sorted,1.00000761449337e-06
Selection,50,Almost Sorted,4.3899985030293465e-05
Insertion,50,Almost Sorted,6.5999338403344154e-06
Merge,50,Almost Sorted,4.079996142536402e-05
Quick,50,Almost Sorted,5.689996760338545e-05
Heap,50,Almost Sorted,5.419994704425335e-05
Timsort,50,Almost Sorted,1.500011421740055e-06
Selection,100,Random,0.00017150002531707287
Insertion,100,Random,0.00014589994680136442
Merge,100,Random,0.0001156999496743083
Quick,100,Random,8.169992361217737e-05
Heap,100,Random,0.00012260000221431255
Timsort,100,Random,9.09995287656784e-06
Selection,100,Sorted,0.0001539998920634389
Insertion,100,Sorted,8.300063200294971e-06
Merge,100,Sorted,8.030002936720848e-05
Quick,100,Sorted,0.00031299993861466646
Heap,100,Sorted,0.00012199999764561653
Timsort,100,Sorted,1.700012944638729e-06
Selection,100,Reverse Sorted,0.00017060001846402884
Insertion,100,Reverse Sorted,0.0013741999864578247
Merge,100,Reverse Sorted,8.889997843652964e-05
Quick,100,Reverse Sorted,0.0002720999764278531
Heap,100,Reverse Sorted,9.959994349628687e-05
Timsort,100,Reverse Sorted,1.500011421740055e-06
Selection,100,Almost Sorted,0.00015680002979934216
Insertion,100,Almost Sorted,1.9300030544400215e-05
Merge,100,Almost Sorted,8.449994493275881e-05
Quick,100,Almost Sorted,0.0001713000237941742
Heap,100,Almost Sorted,0.0001183999702334404
Timsort,100,Almost Sorted,3.100023604929447e-06
Selection,500,Random,0.004297900013625622
Insertion,500,Random,0.004041299922391772
Merge,500,Random,0.0007269000634551048
Quick,500,Random,0.00042189995292574167
Heap,500,Random,0.0008053999627009034
Timsort,500,Random,4.8200017772614956e-05
Selection,500,Sorted,0.004080899991095066
Insertion,500,Sorted,4.439998883754015e-05
Merge,500,Sorted,0.00046229991130530834
Quick,500,Sorted,0.0083263999549672
Heap,500,Sorted,0.0008441000245511532
Timsort,500,Sorted,5.199923180043697e-06
Selection,500,Reverse Sorted,0.004798800102435052
Insertion,500,Reverse Sorted,0.007867100066505373
Merge,500,Reverse Sorted,0.00048159994184970856
Quick,500,Reverse Sorted,0.006939199985936284
Heap,500,Reverse Sorted,0.000723400036804378
Timsort,500,Reverse Sorted,5.600042641162872e-06
Selection,500,Almost Sorted,0.004261299967765808
Insertion,500,Almost Sorted,0.00028060004115104675
Merge,500,Almost Sorted,0.0005741000641137362
Quick,500,Almost Sorted,0.0013380000600591302
Heap,500,Almost Sorted,0.0008485999424010515
Timsort,500,Almost Sorted,1.6700010746717453e-05
Selection,1000,Random,0.017377299955114722
Insertion,1000,Random,0.01805479999165982
Merge,1000,Random,0.0015161000192165375
Quick,1000,Random,0.0009485000045970082
Heap,1000,Random,0.0019017000449821353
Timsort,1000,Random,0.00010960001964122057
Selection,1000,Sorted,0.016987400013022125
Insertion,1000,Sorted,0.00010199996177107096
Merge,1000,Sorted,0.0010059999767690897
Quick,1000,Sorted,ERROR-RecursionError: maximum recursion depth exceeded
Heap,1000,Sorted,0.0024705000687390566
Timsort,1000,Sorted,1.1499971151351929e-05
Selection,1000,Reverse Sorted,0.021747400052845478
Insertion,1000,Reverse Sorted,0.03511830000206828
Merge,1000,Reverse Sorted,0.0011393999448046088
Quick,1000,Reverse Sorted,ERROR-RecursionError: maximum recursion depth exceeded
Heap,1000,Reverse Sorted,0.0017319000326097012
Timsort,1000,Reverse Sorted,1.1599971912801266e-05
Selection,1000,Almost Sorted,0.018220199970528483
Insertion,1000,Almost Sorted,0.0008939000545069575
Merge,1000,Almost Sorted,0.001411600038409233
Quick,1000,Almost Sorted,0.006934800068847835
Heap,1000,Almost Sorted,0.0036365999840199947
Timsort,1000,Almost Sorted,3.659992944449186e-05
Selection,5000,Random,0.44688089995179325
Insertion,5000,Random,0.43526120006572455
Merge,5000,Random,0.011877399985678494
Quick,5000,Random,0.005582699901424348
Heap,5000,Random,0.011711700004525483
Timsort,5000,Random,0.0005975000094622374
Selection,5000,Sorted,0.43387910001911223
Insertion,5000,Sorted,0.0004238999681547284
Merge,5000,Sorted,0.0069046999560669065
Quick,5000,Sorted,ERROR-RecursionError: maximum recursion depth exceeded
Heap,5000,Sorted,0.014096800005063415
Timsort,5000,Sorted,0.00017230003140866756
Selection,5000,Reverse Sorted,0.44915650004986674
Insertion,5000,Reverse Sorted,0.8456464000046253
Merge,5000,Reverse Sorted,0.007493100012652576
Quick,5000,Reverse Sorted,ERROR-RecursionError: maximum recursion depth exceeded
Heap,5000,Reverse Sorted,0.01150790008250624
Timsort,5000,Reverse Sorted,8.140003774315119e-05
Selection,5000,Almost Sorted,0.429906600038521
Insertion,5000,Almost Sorted,0.020879299961961806
Merge,5000,Almost Sorted,0.00782569998409599
Quick,5000,Almost Sorted,0.028117999900132418
Heap,5000,Almost Sorted,0.013001600047573447
Timsort,5000,Almost Sorted,0.00021500000730156898
Selection,10000,Random,1.7295415999833494
Insertion,10000,Random,1.7147197000449523
Merge,10000,Random,0.022252900060266256
Quick,10000,Random,0.014284700038842857
Heap,10000,Random,0.027864999952726066
Timsort,10000,Random,0.0013789000222459435
Selection,10000,Sorted,1.700474299956113
Insertion,10000,Sorted,0.0009655000176280737
Merge,10000,Sorted,0.012636199942789972
Quick,10000,Sorted,ERROR-RecursionError: maximum recursion depth exceeded
Heap,10000,Sorted,0.02732829994056374
Timsort,10000,Sorted,0.00015049998182803392
Selection,10000,Reverse Sorted,1.7759600999997929
Insertion,10000,Reverse Sorted,3.3772656000219285
Merge,10000,Reverse Sorted,0.015456499997526407
Quick,10000,Reverse Sorted,ERROR-RecursionError: maximum recursion depth exceeded
Heap,10000,Reverse Sorted,0.02405679994262755
Timsort,10000,Reverse Sorted,0.0001721000298857689
Selection,10000,Almost Sorted,1.7042887000134215
Insertion,10000,Almost Sorted,0.09769930003676564
Merge,10000,Almost Sorted,0.016969899996183813
Quick,10000,Almost Sorted,0.07638879993464798
Heap,10000,Almost Sorted,0.02740339993033558
Timsort,10000,Almost Sorted,0.00039549998473376036
Selection,50000,Random,45.2118996999925
Insertion,50000,Random,44.33503230009228
Merge,50000,Random,0.11927640007343143
Quick,50000,Random,0.10377119993790984
Heap,50000,Random,0.15666420001070946
Timsort,50000,Random,0.006841300055384636
Selection,50000,Sorted,41.893972699996084
Insertion,50000,Sorted,0.004823399940505624
Merge,50000,Sorted,0.06835960003081709
Quick,50000,Sorted,ERROR-RecursionError: maximum recursion depth exceeded
Heap,50000,Sorted,0.15591530001256615
Timsort,50000,Sorted,0.0006041000597178936
Selection,50000,Reverse Sorted,45.25746890006121
Insertion,50000,Reverse Sorted,89.26762149995193
Merge,50000,Reverse Sorted,0.07015469996258616
Quick,50000,Reverse Sorted,ERROR-RecursionError: maximum recursion depth exceeded
Heap,50000,Reverse Sorted,0.16651240002829581
Timsort,50000,Reverse Sorted,0.0007430999539792538
Selection,50000,Almost Sorted,43.72579089994542
Insertion,50000,Almost Sorted,2.3852408000966534
Merge,50000,Almost Sorted,0.09388810000382364
Quick,50000,Almost Sorted,ERROR-RecursionError: maximum recursion depth exceeded
Heap,50000,Almost Sorted,0.16764739993959665
Timsort,50000,Almost Sorted,0.0018006000900641084
